datetime,Los Angeles
10/1/2012 13:00,291.87
10/1/2012 14:00,291.8681855
10/1/2012 15:00,291.8628445
10/1/2012 16:00,291.8575034
10/1/2012 17:00,291.8521623
10/1/2012 18:00,291.8468213
10/1/2012 19:00,291.8414802
10/1/2012 20:00,291.8361391
10/1/2012 21:00,291.8307981
10/1/2012 22:00,291.825457
10/1/2012 23:00,291.820116
10/2/2012 0:00,291.8147749
10/2/2012 1:00,291.8094338
10/2/2012 2:00,291.8040928
10/2/2012 3:00,291.7987517
10/2/2012 4:00,291.7934106
10/2/2012 5:00,291.7880696
10/2/2012 6:00,291.7827285
10/2/2012 7:00,291.7773874
10/2/2012 8:00,291.7720464
10/2/2012 9:00,291.7667053
10/2/2012 10:00,291.7613643
10/2/2012 11:00,291.7560232
10/2/2012 12:00,291.7506821
10/2/2012 13:00,291.7453411
10/2/2012 14:00,291.74
10/2/2012 15:00,293.97
10/2/2012 16:00,295.59
10/2/2012 17:00,297.93
10/2/2012 18:00,303.83
10/2/2012 19:00,305.03
10/2/2012 20:00,306.12
10/2/2012 21:00,307.66
10/2/2012 22:00,307.71
10/2/2012 23:00,306.87
10/3/2012 0:00,305.7
10/3/2012 1:00,303.69
10/3/2012 2:00,302.02
10/3/2012 3:00,300.42
10/3/2012 4:00,299.64
10/3/2012 5:00,299.62
10/3/2012 6:00,296.38
10/3/2012 7:00,295.2
10/3/2012 8:00,295.2
10/3/2012 9:00,294.66
10/3/2012 10:00,294.22
10/3/2012 11:00,293.86
10/3/2012 12:00,293.235
10/3/2012 13:00,292.61
10/3/2012 14:00,292.44
10/3/2012 15:00,295.15
10/3/2012 16:00,297.86
10/3/2012 17:00,300.57
10/3/2012 18:00,303.11
10/3/2012 19:00,304.07
10/3/2012 20:00,304.01
10/3/2012 21:00,304.76
10/3/2012 22:00,304.18
10/3/2012 23:00,303.6
10/4/2012 0:00,302.31
10/4/2012 1:00,300.72
10/4/2012 2:00,299.11
10/4/2012 3:00,297.84
10/4/2012 4:00,296.17
10/4/2012 5:00,294.99
10/4/2012 6:00,294.18
10/4/2012 7:00,293.97
10/4/2012 8:00,293.13
10/4/2012 9:00,292.96
10/4/2012 10:00,292.28
10/4/2012 11:00,291.78
10/4/2012 12:00,291.46
10/4/2012 13:00,291.35
10/4/2012 14:00,291.32
10/4/2012 15:00,292.95
10/4/2012 16:00,294.17
10/4/2012 17:00,296.46
10/4/2012 18:00,298.03
10/4/2012 19:00,299.04
10/4/2012 20:00,299.86
10/4/2012 21:00,300.01
10/4/2012 22:00,300.41
10/4/2012 23:00,299.45
10/5/2012 0:00,298.36
10/5/2012 1:00,297.33
10/5/2012 2:00,295.26
10/5/2012 3:00,294.26
10/5/2012 4:00,293.47
10/5/2012 5:00,292.57
10/5/2012 6:00,291.04
10/5/2012 7:00,290.005
10/5/2012 8:00,288.97
10/5/2012 9:00,289.275
10/5/2012 10:00,289.58
10/5/2012 11:00,289.67
10/5/2012 12:00,289.82
10/5/2012 13:00,290.25
10/5/2012 14:00,290.41
10/5/2012 15:00,290.65
10/5/2012 16:00,291.79
10/5/2012 17:00,292.51
10/5/2012 18:00,294.04
10/5/2012 19:00,294.87
10/5/2012 20:00,295.73
10/5/2012 21:00,296.69
10/5/2012 22:00,297.41
10/5/2012 23:00,296.8
10/6/2012 0:00,295.93
10/6/2012 1:00,294.82
10/6/2012 2:00,293.71
10/6/2012 3:00,292.25
10/6/2012 4:00,291.86
10/6/2012 5:00,291.2
10/6/2012 6:00,290.2
10/6/2012 7:00,290.1
10/6/2012 8:00,289.57
10/6/2012 9:00,289.04
10/6/2012 10:00,288.99
10/6/2012 11:00,288.99
10/6/2012 12:00,288.99
10/6/2012 13:00,289.17
10/6/2012 14:00,289.3
10/6/2012 15:00,290.06
10/6/2012 16:00,290.96
10/6/2012 17:00,292.28
10/6/2012 18:00,294.72
10/6/2012 19:00,296.06
10/6/2012 20:00,296.93
10/6/2012 21:00,297.14
10/6/2012 22:00,297.31
10/6/2012 23:00,297.27
10/7/2012 0:00,296.53
10/7/2012 1:00,295.2
10/7/2012 2:00,293.86
10/7/2012 3:00,293.28
10/7/2012 4:00,292.36
10/7/2012 5:00,291.6
10/7/2012 6:00,290.98
10/7/2012 7:00,290.36
10/7/2012 8:00,289.74
10/7/2012 9:00,289.67
10/7/2012 10:00,289.28
10/7/2012 11:00,288.95
10/7/2012 12:00,289.06
10/7/2012 13:00,288.67
10/7/2012 14:00,288.92
10/7/2012 15:00,289.88
10/7/2012 16:00,291.75
10/7/2012 17:00,294.55
10/7/2012 18:00,296.13
10/7/2012 19:00,297.4
10/7/2012 20:00,298.21
10/7/2012 21:00,298.01
10/7/2012 22:00,297.94
10/7/2012 23:00,297.96
10/8/2012 0:00,297.06
10/8/2012 1:00,296.45
